district,mandal,panchayat,num,lon,lat,alt,acc,drumseeded,dup,sort_rand,masked_id
"WANAPARTHY","GOPALPET","Munnanoor",4,78.11646692454815,16.35446347769504,0,0,1,0,.057472944,172
"JAGTIAL","Endapalli","Kothapet",5,79.2044736,18.7656544,197.3,4.56,0,2,.057514273,33
"MAHABUBNAGAR","GANDEED","Peddavarval",2,77.8168495,16.9771671,453.3000000000001,3.692,0,0,.057786603,54
"PEDDAPALLI","PEDDAPALLE","Kasulapalli",4,79.318445,18.6815315,0,2299.999,0,1,.058640506,355
"NAGARKURNOOL","TADOOR","Cherla Itikyala",6,78.3156448,16.5493493,496.1,3.9,1,2,.059790347,143
"JAGTIAL","JAGTIAL RURAL","Thatipally",12,78.844409,18.7949924,223,5,0,1,.059984565,302
"NAGARKURNOOL","VANGOOR","Dindichinthalapalle",8,78.6058317,16.5270853,406.9,3.9,0,3,.06019694,159
"JAGTIAL","RAIKAL","Itkial",1,78.77751670000001,18.9154077,240.3,4.016,0,2,.060492765,341
"KARIMNAGAR","THIMMAPUR","Parlapally",37,79.21121650000001,18.290473,246.5999908447266,683.86,1,1,.060807489,263
"WANAPARTHY","PANGAL","Remuddula",5,78.18251239999999,16.3156854,348.1,3.9,0,0,.061020855,175
"NAGARKURNOOL","VELDANDA","Peddapur",10,78.52095730000001,16.7961971,413.42822265625,4.313,1,0,.061205667,162
"MAHABUBNAGAR","MAHABUBNAGAR RURAL","Oblaipalle",2,77.8917367,16.6613624,339.922,4.71,0,0,.061224952,65
"KARIMNAGAR","GANNERUVARAM","Pechupally",6,79.072011,18.3181519,235.6,4.81,0,0,.06125671,237
"MAHABUBNAGAR","MAHABUBNAGAR RURAL","Kodur",3,77.9297929,16.6801212,357.166,7.395,0,0,.061258491,66
"WANAPARTHY","PANGAL","Kethepally",2,78.1507874,16.1931145,269.434,229.597,0,0,.061341174,183
"WANAPARTHY","GOPALPET","Munnanoor",2,78.11609745025635,16.35525906541427,0,0,1,0,.061352842,172
"KARIMNAGAR","CHIGURUMAMIDI","Gunukulapalli",4,79.1672197,18.2144958,317.5,3.46,0,0,.061883688,217
"NAGARKURNOOL","BALMOOR","Balmoor",1,78.5786871,16.3395867,474.3,3.9,0,1,.062447425,112
"NAGARKURNOOL","BALMOOR","Godal",2,78.5537346,16.351836,468,3.9,0,0,.062549882,102
"KARIMNAGAR","KOTHAPALLY","Chinthakunta",11,79.0851933,18.4548153,289.8,3.46,0,3,.062573984,247
"KARIMNAGAR","KARIMNAGAR RURAL","Gopalpoor",5,79.18769519999999,18.4468449,254.8,3.9,1,0,.062655888,245
